path,tab_format_version,physical_harmonica_name,artist,title,artist_latin,title_latin,is_cover,unique_descriptor,mapper,has_audio_guide,has_map,sort_order,tier,score_melody_variety,score_jump,score_same_breath,score_bend,has_audio_timecodes
other\puppetheart\jp.yaml,4.1.0,C (10 holes),まふまふ feat. まふまふ,傀儡の心臓,,,0,jp /// rhythm,gggrv,1,1,0.175,0,1.665,0.051,0.171,0.0,0
artificial_singer\bluegreen\jp_eiro.yaml,4.1.0,C (10 holes),AVTechNO! feat. 初音ミク,Blue／Green,AVTechNO! feat. Hatsune Miku,Blue／Green,0,jp /// rhythm,gggrv,1,1,0.257,20,1.671,0.046,0.291,0.0,1
artificial_singer\whatsinside\jp.yaml,4.1.0,C (10 holes),ピノキオピー feat. 初音ミク,内臓ありますか,,,0,jp /// rhythm,gggrv,1,1,0.26,20,1.663,0.099,0.258,0.0,0
artificial_singer\hifumiloneliness\jp.yaml,4.1.0,C (10 holes),一二三 feat. 初音ミク,猛独が襲う,,,0,jp /// rhythm,gggrv,0,1,0.448,20,1.623,0.469,0.261,0.0,0
other\fuyuno\jp.yaml,4.1.0,C (10 holes),ヒトリエ (wowaka),フユノ,,,0,jp /// rhythm,gggrv,1,1,0.477,20,1.55,0.494,0.283,0.0,0
artificial_singer\bluegreen\jp_ixi.yaml,4.1.0,C (10 holes),AVTechNO! feat. 初音ミク,Blue Green IIXII,AVTechNO! feat. Hatsune Miku,Blue Green IIXII,1,jp /// rhythm,gggrv,1,1,0.482,60,1.66,0.306,0.427,0.0,1
tried_to_sing\tsumikiningyou\jp.yaml,4.1.0,C (10 holes),とくP feat. ぱごだ,積み木の人形 remix by とくP,,,1,jp /// rhythm,gggrv,1,1,0.533,40,1.766,0.532,0.312,0.001,0
other\amaoto\jp_short.yaml,4.1.0,C (10 holes),天遊 feat. 東京塔子,雪の雫・雨の音 (MuseDash Ver.),,,0,jp /// rhythm,gggrv,1,1,0.545,40,1.717,0.703,0.235,0.0,0
other\reollunatic\jp.yaml,4.1.0,C (10 holes),"ギガP, れをる feat. REOL",Lunatic,,,0,jp /// rhythm,gggrv,1,1,0.557,60,1.66,0.456,0.427,0.0,0
other\fantasylama\ru_marmar.yaml,4.1.0,C (10 holes),LAMA,Fantasy,,,0,"ru translation by ○○ /// rhythm, stress marks",gggrv,0,1,0.574,40,1.421,0.703,0.268,0.0,0
other\fantasylama\jp.yaml,4.1.0,C (10 holes),LAMA,Fantasy,,,0,jp /// rhythm,gggrv,0,1,0.582,40,1.388,0.687,0.289,0.0,0
other\amaoto\jp.yaml,4.1.0,C (10 holes),天遊 feat. 東京塔子,雪の雫・雨の音,,,0,jp /// rhythm,gggrv,1,1,0.589,40,1.835,0.645,0.342,0.0,0
artificial_singer\realogideo\jp.yaml,4.1.0,C (10 holes),ゴボウメン feat. IA,現実的論理主義者,,,0,jp /// rhythm,gggrv,1,1,0.597,40,1.616,0.566,0.318,0.003,0
artificial_singer\dependentfritters\jp.yaml,4.1.0,C (10 holes),koyori (電ポルP) feat. 初音ミク,従属ふりったー,koyori (DenpolP) feat. Hatsune Miku,Juuzoku Fritters,0,jp /// rhythm,gggrv,1,1,0.609,40,1.395,0.673,0.338,0.0,1
